orig_strain	virus	subgenogroup	accession	seq-len	date	age	sex	host	genbank-host	country	region	moltype	strain
Rs4237	Severe acute respiratory syndrome-related coronavirus		KY417147	29741	2013-04-17			Bat	Rhinolophus sinicus	China	china	genomic RNA	Rs4237__KY417147
Rs4247	Severe acute respiratory syndrome-related coronavirus		KY417148	29743	2013-04-17			Bat	Rhinolophus sinicus	China	china	genomic RNA	Rs4247__KY417148
Rs4255	Severe acute respiratory syndrome-related coronavirus		KY417149	29743	2013-04-17			Bat	Rhinolophus sinicus	China	china	genomic RNA	Rs4255__KY417149
Rs4874	Severe acute respiratory syndrome-related coronavirus		KY417150	30311	2013-07-21			Bat	Rhinolophus sinicus	China	china	genomic RNA	Rs4874__KY417150
Rs7327	Severe acute respiratory syndrome-related coronavirus		KY417151	30307	2014-10-24			Bat	Rhinolophus sinicus	China	china	genomic RNA	Rs7327__KY417151
Rs9401	Severe acute respiratory syndrome-related coronavirus		KY417152	29769	2015-10-16			Bat	Rhinolophus sinicus	China	china	genomic RNA	Rs9401__KY417152
Rs3367	Severe acute respiratory syndrome-related coronavirus		KC881006	29792	2012-03-19			Bat	Rhinolophus sinicus	China	china	genomic RNA	Rs3367__KC881006
RsSHC014	Severe acute respiratory syndrome-related coronavirus		KC881005	29787	2011-04-17			Bat	Rhinolophus sinicus	China	china	genomic RNA	RsSHC014__KC881005
WIV1	Severe acute respiratory syndrome-related coronavirus		KF367457	30309	2012-09-XX			Bat	Rhinolophus sinicus	China	china	genomic RNA	WIV1__KF367457
YNLF_31C	Severe acute respiratory syndrome-related coronavirus		KP886808	29723	2013-05-23			Bat	Rhinolophus Ferrumequinum	China	china	genomic RNA	YNLF_31C__KP886808
YNLF_34C	Severe acute respiratory syndrome-related coronavirus		KP886809	29723	2013-05-23			Bat	Rhinolophus Ferrumequinum	China	china	genomic RNA	YNLF_34C__KP886809
LYRa11	Severe acute respiratory syndrome-related coronavirus		KF569996	29805	2011-XX-XX			Bat	Rhinolophus affinis	China	china	genomic RNA	LYRa11__KF569996
A001	Severe acute respiratory syndrome-related coronavirus		FJ959407	29694	20XX-XX-XX			Civet	palm civet	China	china	genomic RNA	A001__FJ959407
Tor2	Severe acute respiratory syndrome-related coronavirus		NC_004718*	29751	20XX-XX-XX			NA	NA	Canada	north_america	genomic RNA	Tor2__NC_004718*
Tor2/FP1-10851	Severe acute respiratory syndrome-related coronavirus		JX163924	29646	2010-02-05			NA	NA	USA	north_america	genomic RNA	Tor2/FP1-10851__JX163924
Tor2/FP1-10851	Severe acute respiratory syndrome-related coronavirus		JX163927	29646	2010-02-05			NA	NA	USA	north_america	genomic RNA	Tor2/FP1-10851__JX163927
Tor2/FP1-10895	Severe acute respiratory syndrome-related coronavirus		JX163925	29646	2010-02-05			NA	NA	USA	north_america	genomic RNA	Tor2/FP1-10895__JX163925
Tor2/FP1-10895	Severe acute respiratory syndrome-related coronavirus		JX163928	29646	2010-02-05			NA	NA	USA	north_america	genomic RNA	Tor2/FP1-10895__JX163928
Tor2/FP1-10912	Severe acute respiratory syndrome-related coronavirus		JX163923	29646	2010-02-10			NA	NA	USA	north_america	genomic RNA	Tor2/FP1-10912__JX163923
Tor2/FP1-10912	Severe acute respiratory syndrome-related coronavirus		JX163926	29646	2010-02-10			NA	NA	USA	north_america	genomic RNA	Tor2/FP1-10912__JX163926
UNKNOWN-CS079027	Severe acute respiratory syndrome-related coronavirus		CS079027	29727	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	UNKNOWN-CS079027__CS079027
UNKNOWN-CS079028	Severe acute respiratory syndrome-related coronavirus		CS079028	29742	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	UNKNOWN-CS079028__CS079028
UNKNOWN-CS079029	Severe acute respiratory syndrome-related coronavirus		CS079029	29736	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	UNKNOWN-CS079029__CS079029
UNKNOWN-DJ059765	Severe acute respiratory syndrome-related coronavirus		DJ059765	29746	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	UNKNOWN-DJ059765__DJ059765
UNKNOWN-DL008527	Severe acute respiratory syndrome-related coronavirus		DL008527	29746	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	UNKNOWN-DL008527__DL008527
UNKNOWN-DL476508	Severe acute respiratory syndrome-related coronavirus		DL476508	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	UNKNOWN-DL476508__DL476508
UNKNOWN-FV537213	Severe acute respiratory syndrome-related coronavirus		FV537213	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	UNKNOWN-FV537213__FV537213
UNKNOWN-HW269828	Severe acute respiratory syndrome-related coronavirus		HW269828	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	UNKNOWN-HW269828__HW269828
UNKNOWN-HW375992	Severe acute respiratory syndrome-related coronavirus		HW375992	29751	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	UNKNOWN-HW375992__HW375992
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882926	29675	2007-09-22			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882926
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882928	29687	2007-08-28			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882928
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882929	29665	2008-03-28			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882929
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882930	29687	2007-09-22			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882930
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882931	29646	2008-03-28			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882931
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882940	29646	2008-08-06			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882940
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882941	29665	2008-03-28			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882941
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882944	29628	2008-03-28			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882944
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882950	29646	2008-08-06			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882950
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882954	29636	2008-08-06			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882954
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882955	29646	2008-03-28			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882955
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882956	29644	2008-08-06			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882956
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882960	29646	2008-08-06			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__FJ882960
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		JF292922	29647	2009-03-18			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__JF292922
ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		JX162087	29688	2009-01-01			NA	NA	USA	north_america	genomic RNA	ExoN1 mutant__JX162087
SARS/VeroE6_lab/USA/ExoN1_c13P1/2009	Severe acute respiratory syndrome-related coronavirus		KF514406	29687	2009-03-18			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c13P1/2009__KF514406
SARS/VeroE6_lab/USA/ExoN1_c13P10/2009	Severe acute respiratory syndrome-related coronavirus		KF514411	29687	2009-05-19			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c13P10/2009__KF514411
SARS/VeroE6_lab/USA/ExoN1_c13P20/2009	Severe acute respiratory syndrome-related coronavirus		KF514412	29687	2009-07-08			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c13P20/2009__KF514412
SARS/VeroE6_lab/USA/ExoN1_c5.10P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514393	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5.10P20/2010__KF514393
SARS/VeroE6_lab/USA/ExoN1_c5.1P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514403	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5.1P20/2010__KF514403
SARS/VeroE6_lab/USA/ExoN1_c5.2P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514405	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5.2P20/2010__KF514405
SARS/VeroE6_lab/USA/ExoN1_c5.3P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514417	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5.3P20/2010__KF514417
SARS/VeroE6_lab/USA/ExoN1_c5.4P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514390	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5.4P20/2010__KF514390
SARS/VeroE6_lab/USA/ExoN1_c5.5P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514401	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5.5P20/2010__KF514401
SARS/VeroE6_lab/USA/ExoN1_c5.6P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514402	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5.6P20/2010__KF514402
SARS/VeroE6_lab/USA/ExoN1_c5.7P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514407	29689	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5.7P20/2010__KF514407
SARS/VeroE6_lab/USA/ExoN1_c5.8P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514416	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5.8P20/2010__KF514416
SARS/VeroE6_lab/USA/ExoN1_c5.9P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514391	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5.9P20/2010__KF514391
SARS/VeroE6_lab/USA/ExoN1_c5P10/2009	Severe acute respiratory syndrome-related coronavirus		KF514420	29687	2009-05-19			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5P10/2009__KF514420
SARS/VeroE6_lab/USA/ExoN1_c5P20/2009	Severe acute respiratory syndrome-related coronavirus		KF514414	29687	2009-07-08			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c5P20/2009__KF514414
SARS/VeroE6_lab/USA/ExoN1_c8P1/2009	Severe acute respiratory syndrome-related coronavirus		KF514395	29687	2009-03-18			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c8P1/2009__KF514395
SARS/VeroE6_lab/USA/ExoN1_c8P10/2009	Severe acute respiratory syndrome-related coronavirus		KF514389	29687	2009-05-19			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c8P10/2009__KF514389
SARS/VeroE6_lab/USA/ExoN1_c8P20/2009	Severe acute respiratory syndrome-related coronavirus		KF514410	29687	2009-07-08			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/ExoN1_c8P20/2009__KF514410
HKU-39849	Severe acute respiratory syndrome-related coronavirus		GU553363	29644	2003-06-07			Human	Homo sapiens	China	china	genomic RNA	HKU-39849__GU553363
HKU-39849	Severe acute respiratory syndrome-related coronavirus		GU553364	29644	2003-06-07			Human	Homo sapiens	China	china	genomic RNA	HKU-39849__GU553364
HKU-39849	Severe acute respiratory syndrome-related coronavirus		GU553365	29644	2007-12-05			Monkey	Chlorocebus aethiops	USA	north_america	genomic RNA	HKU-39849__GU553365
HKU-39849	Severe acute respiratory syndrome-related coronavirus		JQ316196	29727	2003-04-16			NA	NA	United_Kingdom	europe	genomic RNA	HKU-39849__JQ316196
recSARS-CoV HKU-39849	Severe acute respiratory syndrome-related coronavirus		JN854286	29727	2003-04-16			NA	NA	United_Kingdom	europe	genomic RNA	recSARS-CoV HKU-39849__JN854286
MA15	Severe acute respiratory syndrome-related coronavirus		FJ882945	29720	2008-11-25			NA	NA	USA	north_america	genomic RNA	MA15__FJ882945
MA15	Severe acute respiratory syndrome-related coronavirus		FJ882948	29720	2008-11-25			NA	NA	USA	north_america	genomic RNA	MA15__FJ882948
MA15	Severe acute respiratory syndrome-related coronavirus		FJ882952	29720	2008-11-25			NA	NA	USA	north_america	genomic RNA	MA15__FJ882952
MA15	Severe acute respiratory syndrome-related coronavirus		FJ882957	29720	2008-11-25			NA	NA	USA	north_america	genomic RNA	MA15__FJ882957
MA15	Severe acute respiratory syndrome-related coronavirus		FJ882958	29720	2008-11-25			NA	NA	USA	north_america	genomic RNA	MA15__FJ882958
MA15	Severe acute respiratory syndrome-related coronavirus		FJ882961	29720	2008-11-25			NA	NA	USA	north_america	genomic RNA	MA15__FJ882961
MA15	Severe acute respiratory syndrome-related coronavirus		HQ890541	29646	2008-10-08			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15__HQ890541
MA15	Severe acute respiratory syndrome-related coronavirus		HQ890542	29646	2008-09-17			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15__HQ890542
MA15	Severe acute respiratory syndrome-related coronavirus		HQ890543	29646	2008-09-17			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15__HQ890543
MA15	Severe acute respiratory syndrome-related coronavirus		HQ890544	29646	2008-09-17			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15__HQ890544
MA15	Severe acute respiratory syndrome-related coronavirus		HQ890545	29646	2008-09-17			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15__HQ890545
MA15	Severe acute respiratory syndrome-related coronavirus		HQ890546	29646	2008-09-17			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15__HQ890546
MA15	Severe acute respiratory syndrome-related coronavirus		JF292907	29646	2008-08-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15__JF292907
MA15	Severe acute respiratory syndrome-related coronavirus		JF292908	29646	2008-08-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15__JF292908
MA15	Severe acute respiratory syndrome-related coronavirus		JF292909	29646	2008-08-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15__JF292909
MA15	Severe acute respiratory syndrome-related coronavirus		JF292910	29646	2008-08-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15__JF292910
MA15	Severe acute respiratory syndrome-related coronavirus		JF292911	29646	2008-10-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15__JF292911
MA15	Severe acute respiratory syndrome-related coronavirus		JF292912	29646	2008-10-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15__JF292912
MA15	Severe acute respiratory syndrome-related coronavirus		JF292913	29646	2008-10-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15__JF292913
MA15	Severe acute respiratory syndrome-related coronavirus		JF292914	29646	2008-10-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15__JF292914
MA15	Severe acute respiratory syndrome-related coronavirus		JF292915	29646	2008-10-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15__JF292915
MA15	Severe acute respiratory syndrome-related coronavirus		JF292916	29646	2008-09-19			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15__JF292916
MA15	Severe acute respiratory syndrome-related coronavirus		JF292917	29646	2008-09-19			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15__JF292917
MA15	Severe acute respiratory syndrome-related coronavirus		JF292918	29646	2008-09-19			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15__JF292918
MA15	Severe acute respiratory syndrome-related coronavirus		JF292919	29646	2008-09-19			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15__JF292919
MA15	Severe acute respiratory syndrome-related coronavirus		JF292920	29646	2008-09-19			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15__JF292920
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882942	29721	2008-11-26			NA	NA	USA	north_america	genomic RNA	MA15 ExoN1 mutant__FJ882942
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882943	29720	2008-11-21			NA	NA	USA	north_america	genomic RNA	MA15 ExoN1 mutant__FJ882943
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882951	29721	2008-11-26			NA	NA	USA	north_america	genomic RNA	MA15 ExoN1 mutant__FJ882951
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882953	29648	2008-11-26			NA	NA	USA	north_america	genomic RNA	MA15 ExoN1 mutant__FJ882953
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882959	29721	2008-11-26			NA	NA	USA	north_america	genomic RNA	MA15 ExoN1 mutant__FJ882959
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		FJ882962	29721	2008-12-18			NA	NA	USA	north_america	genomic RNA	MA15 ExoN1 mutant__FJ882962
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890526	29646	2008-10-08			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890526
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890527	29646	2008-10-08			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890527
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890528	29646	2008-10-08			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890528
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890529	29646	2008-10-08			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890529
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890530	29646	2008-10-08			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890530
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890531	29645	2008-10-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890531
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890532	29645	2008-10-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890532
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890533	29646	2008-10-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890533
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890534	29646	2008-09-17			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890534
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890535	29646	2008-09-17			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890535
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890536	29646	2008-09-17			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890536
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890537	29646	2008-09-17			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890537
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890538	29646	2008-09-17			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890538
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890539	29646	2008-09-18			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890539
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		HQ890540	29646	2008-09-18			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15 ExoN1 mutant__HQ890540
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		JF292902	29646	2008-10-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15 ExoN1 mutant__JF292902
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		JF292903	29645	2008-10-10			Mouse	Mus musculus; young	USA	north_america	genomic RNA	MA15 ExoN1 mutant__JF292903
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		JF292904	29645	2008-09-18			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15 ExoN1 mutant__JF292904
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		JF292905	29646	2008-09-18			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15 ExoN1 mutant__JF292905
MA15 ExoN1 mutant	Severe acute respiratory syndrome-related coronavirus		JF292906	29646	2008-09-18			Mouse	Mus musculus; old	USA	north_america	genomic RNA	MA15 ExoN1 mutant__JF292906
Rs672	Severe acute respiratory syndrome-related coronavirus		FJ588686	29059	2006-XX-XX			Bat	Rhinolophus sinicus	China	china	genomic RNA	Rs672__FJ588686
TC1	Severe acute respiratory syndrome-related coronavirus		AY338174	29573	20XX-XX-XX			NA	NA	Taiwan	china	genomic RNA	TC1__AY338174
TC2	Severe acute respiratory syndrome-related coronavirus		AY338175	29573	20XX-XX-XX			NA	NA	Taiwan	china	genomic RNA	TC2__AY338175
TC3	Severe acute respiratory syndrome-related coronavirus		AY348314	29573	20XX-XX-XX			NA	NA	Taiwan	china	genomic RNA	TC3__AY348314
UNKNOWN-DJ066921	Severe acute respiratory syndrome-related coronavirus		DJ066921	29727	20XX-XX-XX			NA	NA	NA	NA	unassigned DNA	UNKNOWN-DJ066921__DJ066921
Urbani	Severe acute respiratory syndrome-related coronavirus		AY278741	29727	20XX-XX-XX			NA	NA	NA	NA	genomic RNA	Urbani__AY278741
Urbani	Severe acute respiratory syndrome-related coronavirus		MK062179	29727	2017-05-27			Human	Homo sapiens	USA	north_america	genomic RNA	Urbani__MK062179
Urbani	Severe acute respiratory syndrome-related coronavirus		MK062180	29727	2017-05-28			Human	Homo sapiens	USA	north_america	genomic RNA	Urbani__MK062180
Urbani	Severe acute respiratory syndrome-related coronavirus		MK062181	29727	2017-05-29			Human	Homo sapiens	USA	north_america	genomic RNA	Urbani__MK062181
Urbani	Severe acute respiratory syndrome-related coronavirus		MK062182	29727	2017-05-30			Human	Homo sapiens	USA	north_america	genomic RNA	Urbani__MK062182
Urbani	Severe acute respiratory syndrome-related coronavirus		MK062183	29874	2017-05-31			Human	Homo sapiens	USA	north_america	genomic RNA	Urbani__MK062183
Urbani	Severe acute respiratory syndrome-related coronavirus		MK062184	29874	2017-06-01			Human	Homo sapiens	USA	north_america	genomic RNA	Urbani__MK062184
SARS/VeroE6_lab/USA/WTic_c1.10P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514398	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1.10P20/2010__KF514398
SARS/VeroE6_lab/USA/WTic_c1.1P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514399	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1.1P20/2010__KF514399
SARS/VeroE6_lab/USA/WTic_c1.2P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514421	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1.2P20/2010__KF514421
SARS/VeroE6_lab/USA/WTic_c1.3P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514422	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1.3P20/2010__KF514422
SARS/VeroE6_lab/USA/WTic_c1.4P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514392	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1.4P20/2010__KF514392
SARS/VeroE6_lab/USA/WTic_c1.5P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514388	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1.5P20/2010__KF514388
SARS/VeroE6_lab/USA/WTic_c1.6P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514413	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1.6P20/2010__KF514413
SARS/VeroE6_lab/USA/WTic_c1.7P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514415	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1.7P20/2010__KF514415
SARS/VeroE6_lab/USA/WTic_c1.8P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514400	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1.8P20/2010__KF514400
SARS/VeroE6_lab/USA/WTic_c1.9P20/2010	Severe acute respiratory syndrome-related coronavirus		KF514404	29687	2010-10-01			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1.9P20/2010__KF514404
SARS/VeroE6_lab/USA/WTic_c1P10/2009	Severe acute respiratory syndrome-related coronavirus		KF514419	29687	2009-05-19			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1P10/2009__KF514419
SARS/VeroE6_lab/USA/WTic_c1P20/2009	Severe acute respiratory syndrome-related coronavirus		KF514394	29687	2009-07-08			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c1P20/2009__KF514394
SARS/VeroE6_lab/USA/WTic_c2P1/2009	Severe acute respiratory syndrome-related coronavirus		KF514408	29687	2009-03-18			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c2P1/2009__KF514408
SARS/VeroE6_lab/USA/WTic_c2P10/2009	Severe acute respiratory syndrome-related coronavirus		KF514397	29687	2009-05-19			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c2P10/2009__KF514397
SARS/VeroE6_lab/USA/WTic_c2P20/2009	Severe acute respiratory syndrome-related coronavirus		KF514409	29687	2009-07-08			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c2P20/2009__KF514409
SARS/VeroE6_lab/USA/WTic_c3P1/2009	Severe acute respiratory syndrome-related coronavirus		KF514418	29687	2009-03-18			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c3P1/2009__KF514418
SARS/VeroE6_lab/USA/WTic_c3P10/2009	Severe acute respiratory syndrome-related coronavirus		KF514396	29687	2009-05-19			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c3P10/2009__KF514396
SARS/VeroE6_lab/USA/WTic_c3P20/2009	Severe acute respiratory syndrome-related coronavirus		KF514423	29687	2009-07-08			NA	NA	USA	north_america	genomic RNA	SARS/VeroE6_lab/USA/WTic_c3P20/2009__KF514423
