orig_strain	virus	subgenogroup	accession	seq-len	date	age	sex	host	genbank-host	country	region	moltype	strain	url	authors	title	date_added
BJ202	Severe acute respiratory syndrome-related coronavirus		AY864806	29751	20XX-XX-XX							genomic RNA	BJ202__AY864806	https://www.ncbi.nlm.nih.gov/nuccore/AY864806	Shang,L., Qi,Y., Bao,Q.Y., Tian,W., Xu,J.C., Feng,M.G. and Yang,H.M.	Polymorphism of SARS-CoV genomes	2020-01-27
CDC#200301157	Severe acute respiratory syndrome-related coronavirus		AY714217	29727	2003-XX-XX			Human		USA	north_america	genomic RNA	CDC#200301157__AY714217	https://www.ncbi.nlm.nih.gov/nuccore/AY714217	Liu,X., Frace,M., Rota,P.A., Matsuoka,Y., Comer,A., Ksiazek,T., Rollin,P., Cox,N., Bellini,W., Anderson,L. and Suliamen,I.	Direct Submission	2020-01-27
civet010	Severe acute respiratory syndrome-related coronavirus		AY572035	29518	2004-XX-XX			Civet	civet	China	china	genomic RNA	civet010__AY572035	https://www.ncbi.nlm.nih.gov/nuccore/AY572035	Wang,M., Yan,M., Xu,H., Liang,W., Kan,B., Zheng,B., Chen,H., Zheng,H., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Liu,Y.F., Guo,R.T., Liu,X.N., Zhan,L.H., Zhou,D.H., Zhao,A., Hai,R., Yu,D., Guan,Y. and Xu,J.	SARS-CoV infection in a restaurant from palm civet	2020-01-27
civet020	Severe acute respiratory syndrome-related coronavirus		AY572038	29683	2004-XX-XX			Civet	civet	China	china	genomic RNA	civet020__AY572038	https://www.ncbi.nlm.nih.gov/nuccore/AY572038	Wang,M., Yan,M., Xu,H., Liang,W., Kan,B., Zheng,B., Chen,H., Zheng,H., Xu,Y., Zhang,E., Wang,H., Ye,J., Li,G., Li,M., Cui,Z., Liu,Y.F., Guo,R.T., Liu,X.N., Zhan,L.H., Zhou,D.H., Zhao,A., Hai,R., Yu,D., Guan,Y. and Xu,J.	SARS-CoV infection in a restaurant from palm civet	2020-01-27
CUHK-AG01	Severe acute respiratory syndrome-related coronavirus		AY345986	29736	2003-XX-XX			Human				genomic RNA	CUHK-AG01__AY345986	https://www.ncbi.nlm.nih.gov/nuccore/AY345986	Chim,S.S.C., Tsui,S.K.W., Chan,K.C.A., Au,T.C.C., Hung,E.C.W., Tong,Y.K., Chiu,R.W.K., Ng,E.K.O., Chan,P.K.S., Chu,C.M., Sung,J.J.Y., Tam,J.S., Fung,K.P., Waye,M.M.Y., Lee,C.Y., Yuen,K.Y., Chung,S., Au-Yeang,C., Au,K.K.A., Chan,A.H., Chan,C.W., Kou,C.Y.C., Lam,W.Y., Lau,S.K., Lau,Y.M., Law,S.L., Law,P.T.W., Li,M.L.Y., Wan,A.W.K., Wong,C.H., Yiu,W.H., Lee,N., Wu,A., Tse,C.H., Chan,L.Y.S. and Lo,Y.M.D.	Genomic characterisation of the severe acute respiratory syndrome coronavirus of Amoy Gardens outbreak in Hong Kong	2020-01-27
CUHK-AG02	Severe acute respiratory syndrome-related coronavirus		AY345987	29736	2003-XX-XX			Human				genomic RNA	CUHK-AG02__AY345987	https://www.ncbi.nlm.nih.gov/nuccore/AY345987	Chim,S.S.C., Tsui,S.K.W., Chan,K.C.A., Au,T.C.C., Hung,E.C.W., Tong,Y.K., Chiu,R.W.K., Ng,E.K.O., Chan,P.K.S., Chu,C.M., Sung,J.J.Y., Tam,J.S., Fung,K.P., Waye,M.M.Y., Lee,C.Y., Yuen,K.Y., Chung,S., Au-Yeang,C., Au,K.K.A., Chan,A.H., Chan,C.W., Kou,C.Y.C., Lam,W.Y., Lau,S.K., Lau,Y.M., Law,S.L., Law,P.T.W., Li,M.L.Y., Wan,A.W.K., Wong,C.H., Yiu,W.H., Lee,N., Wu,A., Tse,C.H., Chan,L.Y.S. and Lo,Y.M.D.	Genomic characterisation of the severe acute respiratory syndrome coronavirus of Amoy Gardens outbreak in Hong Kong	2020-01-27
CUHK-AG03	Severe acute respiratory syndrome-related coronavirus		AY345988	29736	2003-XX-XX			Human				genomic RNA	CUHK-AG03__AY345988	https://www.ncbi.nlm.nih.gov/nuccore/AY345988	Chim,S.S.C., Tsui,S.K.W., Chan,K.C.A., Au,T.C.C., Hung,E.C.W., Tong,Y.K., Chiu,R.W.K., Ng,E.K.O., Chan,P.K.S., Chu,C.M., Sung,J.J.Y., Tam,J.S., Fung,K.P., Waye,M.M.Y., Lee,C.Y., Yuen,K.Y., Chung,S., Au-Yeang,C., Au,K.K.A., Chan,A.H., Chan,C.W., Kou,C.Y.C., Lam,W.Y., Lau,S.K., Lau,Y.M., Law,S.L., Law,P.T.W., Li,M.L.Y., Wan,A.W.K., Wong,C.H., Yiu,W.H., Lee,N., Wu,A., Tse,C.H., Chan,L.Y.S. and Lo,Y.M.D.	Genomic characterisation of the severe acute respiratory syndrome coronavirus of Amoy Gardens outbreak in Hong Kong	2020-01-27
CUHK-Su10	Severe acute respiratory syndrome-related coronavirus		AY282752	29736	2003-XX-XX			Human				genomic RNA	CUHK-Su10__AY282752	https://www.ncbi.nlm.nih.gov/nuccore/AY282752	Tsui,S.K., Chim,S.S. and Lo,Y.M.	Coronavirus genomic-sequence variations and the epidemiology of the severe acute respiratory syndrome	2020-01-27
CUHK-W1	Severe acute respiratory syndrome-related coronavirus		AY278554	29736	2003-XX-XX			Human		China	china	genomic RNA	CUHK-W1__AY278554	https://www.ncbi.nlm.nih.gov/nuccore/AY278554	Tsui,S.K., Chim,S.S. and Lo,Y.M.	Coronavirus genomic-sequence variations and the epidemiology of the severe acute respiratory syndrome	2020-01-27
FRA	Severe acute respiratory syndrome-related coronavirus		AY310120	29740	2003-XX-XX			Human				genomic RNA	FRA__AY310120	https://www.ncbi.nlm.nih.gov/nuccore/AY310120	Stadler,K., Masignani,V., Eickmann,M., Becker,S., Abrignani,S., Klenk,H.D. and Rappuoli,R.	SARS--beginning to understand a new virus	2020-01-27
Frankfurt 1	Severe acute respiratory syndrome-related coronavirus		AB257344	29632	2003-XX-XX							genomic RNA	Frankfurt1__AB257344	https://www.ncbi.nlm.nih.gov/nuccore/AB257344	Yamate,M., Yamashita,M., Goto,T., Tsuji,S., Li,Y.G., Warachit,J., Yunoki,M. and Ikuta,K.	Establishment of Vero E6 cell clones persistently infected with severe acute respiratory syndrome coronavirus	2020-01-27
Frankfurt 1	Severe acute respiratory syndrome-related coronavirus		AY291315	29727	2003-XX-XX			Human				genomic RNA	Frankfurt1__AY291315	https://www.ncbi.nlm.nih.gov/nuccore/AY291315	Thiel,V., Ivanov,K.A., Putics,A., Hertzig,T., Schelle,B., Bayer,S., Weissbrich,B., Snijder,E.J., Rabenau,H., Doerr,H.W., Gorbalenya,A.E. and Ziebuhr,J.	Mechanisms and enzymes involved in SARS coronavirus genome expression	2020-01-27
GD01	Severe acute respiratory syndrome-related coronavirus		AY278489	29757	2003-XX-XX			Human				genomic RNA	GD01__AY278489	https://www.ncbi.nlm.nih.gov/nuccore/AY278489	Wu,Q., Zhang,Y., Lu,H., Wang,J., He,X., Liu,Y., Ye,C., Lin,W., Hu,J., Ji,J., Xu,J., Ye,J., Hu,Y., Chen,W., Li,S., Wang,J., Wang,J., Bi,S. and Yang,H.	The E protein is a multifunctional membrane protein of SARS-CoV	2020-01-27
GD69	Severe acute respiratory syndrome-related coronavirus		AY313906	29754	2003-XX-XX			Human		China	china	genomic RNA	GD69__AY313906	https://www.ncbi.nlm.nih.gov/nuccore/AY313906	Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I. and Zhao,G.P.	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	2020-01-27
GDH-BJH01	Severe acute respiratory syndrome-related coronavirus		DQ640652	29746	20XX-XX-XX			Human	Homo sapiens	China	china	genomic RNA	GDH-BJH01__DQ640652	https://www.ncbi.nlm.nih.gov/nuccore/DQ640652	Cai,J.-P., Hei,A.-L., Hu,J.-H., Wang,S.-K., Zhang,C.-B., Dai,D.-P., Shen,Z.-Y., Guo,J., Li,M., Wu,Y.-S., Cheng,G., He,Y.-S. and Hou,M.	Direct Submission	2020-01-27
GZ-B	Severe acute respiratory syndrome-related coronavirus		AY394978	29640	20XX-XX-XX							genomic RNA	GZ-B__AY394978	https://www.ncbi.nlm.nih.gov/nuccore/AY394978		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
GZ-C	Severe acute respiratory syndrome-related coronavirus		AY394979	29645	20XX-XX-XX							genomic RNA	GZ-C__AY394979	https://www.ncbi.nlm.nih.gov/nuccore/AY394979		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
GZ02	Severe acute respiratory syndrome-related coronavirus		AY390556	29760	2003-XX-XX			Human		China	china	genomic RNA	GZ02__AY390556	https://www.ncbi.nlm.nih.gov/nuccore/AY390556	Zhou,X., Hou,J., He,M., Ding,Y., Wang,Z., Li,J., Liu,Z., Ma,S., Zhang,K., Pan,W., Zhang,J., He,J., Wang,Y., Xu,Y. and Wang,X.	SARS coronavirus GZ02 isolate genome sequence	2020-01-27
GZ0401	Severe acute respiratory syndrome-related coronavirus		AY568539	29730	2004-XX-XX			Human		China	china	genomic RNA	GZ0401__AY568539	https://www.ncbi.nlm.nih.gov/nuccore/AY568539	Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I. and Zhao,G.P.	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	2020-01-27
GZ0402	Severe acute respiratory syndrome-related coronavirus		AY613947	29730	2004-XX-XX			Human		China	china	genomic RNA	GZ0402__AY613947	https://www.ncbi.nlm.nih.gov/nuccore/AY613947	Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I. and Zhao,G.P.	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	2020-01-27
GZ50	Severe acute respiratory syndrome-related coronavirus		AY304495	29720	2003-XX-XX			Human		Hong_Kong	china	genomic RNA	GZ50__AY304495	https://www.ncbi.nlm.nih.gov/nuccore/AY304495	Guan,Y., Zheng,B.J., He,Y.Q., Liu,X.L., Zhuang,Z.X., Cheung,C.L., Luo,S.W., Li,P.H., Zhang,L.J., Guan,Y.J., Butt,K.M., Wong,K.L., Chan,K.W., Lim,W., Shortridge,K.F., Yuen,K.Y., Peiris,J.S. and Poon,L.L.	Isolation and characterization of viruses related to the SARS coronavirus from animals in southern China	2020-01-27
HC/SZ/61/03	Severe acute respiratory syndrome-related coronavirus		AY515512	29731	20XX-XX-XX			Civet	Paguma larvata (Himalayan palm civets)	China	china	genomic RNA	HC/SZ/61/03__AY515512	https://www.ncbi.nlm.nih.gov/nuccore/AY515512	Yi,G.	An Averted SARS Outbreak?	2020-01-27
HGZ8L2	Severe acute respiratory syndrome-related coronavirus		AY394993	29736	2003-XX-XX			Human				genomic RNA	HGZ8L2__AY394993	https://www.ncbi.nlm.nih.gov/nuccore/AY394993		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
HKU-39849	Severe acute respiratory syndrome-related coronavirus		AY278491	29742	2003-XX-XX			Human				genomic RNA	HKU-39849__AY278491	https://www.ncbi.nlm.nih.gov/nuccore/AY278491	Zeng,F.Y., Chan,C.W., Chan,M.N., Chen,J.D., Chow,K.Y., Hon,C.C., Hui,K.H., Li,J., Li,V.Y., Wang,C.Y., Wang,P.Y., Guan,Y., Zheng,B., Poon,L.L., Chan,K.H., Yuen,K.Y., Peiris,J.S. and Leung,F.C.	The complete genome sequence of severe acute respiratory syndrome coronavirus strain HKU-39849 (HK-39)	2020-01-27
HSR 1	Severe acute respiratory syndrome-related coronavirus		AY323977	29751	20XX-XX-XX			Human		Italy	europe	genomic RNA	HSR1__AY323977	https://www.ncbi.nlm.nih.gov/nuccore/AY323977	Vicenzi,E., Canducci,F., Pinna,D., Mancini,N., Carletti,S., Lazzarin,A., Bordignon,C., Poli,G. and Clementi,M.	Coronaviridae and SARS-associated coronavirus strain HSR1	2020-01-27
HSZ-Bb	Severe acute respiratory syndrome-related coronavirus		AY394985	29530	20XX-XX-XX							genomic RNA	HSZ-Bb__AY394985	https://www.ncbi.nlm.nih.gov/nuccore/AY394985		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
HSZ-Bc	Severe acute respiratory syndrome-related coronavirus		AY394994	29765	20XX-XX-XX							genomic RNA	HSZ-Bc__AY394994	https://www.ncbi.nlm.nih.gov/nuccore/AY394994		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
HSZ-Cb	Severe acute respiratory syndrome-related coronavirus		AY394986	29729	20XX-XX-XX							genomic RNA	HSZ-Cb__AY394986	https://www.ncbi.nlm.nih.gov/nuccore/AY394986		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
HSZ-Cc	Severe acute respiratory syndrome-related coronavirus		AY394995	29765	2003-XX-XX			Human				genomic RNA	HSZ-Cc__AY394995	https://www.ncbi.nlm.nih.gov/nuccore/AY394995		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
HSZ2-A	Severe acute respiratory syndrome-related coronavirus		AY394983	29699	20XX-XX-XX							genomic RNA	HSZ2-A__AY394983	https://www.ncbi.nlm.nih.gov/nuccore/AY394983		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
HZS2-C	Severe acute respiratory syndrome-related coronavirus		AY394992	29736	20XX-XX-XX							genomic RNA	HZS2-C__AY394992	https://www.ncbi.nlm.nih.gov/nuccore/AY394992		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
HZS2-D	Severe acute respiratory syndrome-related coronavirus		AY394989	29736	20XX-XX-XX							genomic RNA	HZS2-D__AY394989	https://www.ncbi.nlm.nih.gov/nuccore/AY394989		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
HZS2-E	Severe acute respiratory syndrome-related coronavirus		AY394990	29736	20XX-XX-XX							genomic RNA	HZS2-E__AY394990	https://www.ncbi.nlm.nih.gov/nuccore/AY394990		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
HZS2-Fb	Severe acute respiratory syndrome-related coronavirus		AY394987	29709	20XX-XX-XX							genomic RNA	HZS2-Fb__AY394987	https://www.ncbi.nlm.nih.gov/nuccore/AY394987		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
HZS2-Fc	Severe acute respiratory syndrome-related coronavirus		AY394991	29736	2003-XX-XX			Human				genomic RNA	HZS2-Fc__AY394991	https://www.ncbi.nlm.nih.gov/nuccore/AY394991		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
LC1	Severe acute respiratory syndrome-related coronavirus		AY394998	29736	20XX-XX-XX							genomic RNA	LC1__AY394998	https://www.ncbi.nlm.nih.gov/nuccore/AY394998		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
LC2	Severe acute respiratory syndrome-related coronavirus		AY394999	29350	20XX-XX-XX							genomic RNA	LC2__AY394999	https://www.ncbi.nlm.nih.gov/nuccore/AY394999		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
LC3	Severe acute respiratory syndrome-related coronavirus		AY395000	29350	20XX-XX-XX							genomic RNA	LC3__AY395000	https://www.ncbi.nlm.nih.gov/nuccore/AY395000		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
LC4	Severe acute respiratory syndrome-related coronavirus		AY395001	29350	20XX-XX-XX							genomic RNA	LC4__AY395001	https://www.ncbi.nlm.nih.gov/nuccore/AY395001		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
LC5	Severe acute respiratory syndrome-related coronavirus		AY395002	29350	2003-XX-XX			Human				genomic RNA	LC5__AY395002	https://www.ncbi.nlm.nih.gov/nuccore/AY395002		From independent foci of epidemic outbreak to large genomic alteration in late phase viruses: evolution of the SARS-coronavirus	2020-01-27
LLJ-2004	Severe acute respiratory syndrome-related coronavirus		AY595412	29716	20XX-XX-XX							genomic RNA	LLJ-2004__AY595412	https://www.ncbi.nlm.nih.gov/nuccore/AY595412	Li,J., Wei,W., Xiao,W., Wang,M., Wang,J., Zhao,J., Sun,Z., Pei,Y. and Chen,Y.	The genome sequence of the SARS-associated coronavirus	2020-01-27
NS-1	Severe acute respiratory syndrome-related coronavirus		AY508724	29732	20XX-XX-XX							genomic RNA	NS-1__AY508724	https://www.ncbi.nlm.nih.gov/nuccore/AY508724	Zheng,H., Wei,C., Ding,R., Wang,W., Li,W., Wang,J., Tao,W., Yu,X., Guo,H., Chen,J., Wei,W., Li,J., Zhang,Y., Wang,X., Sun,Y., Jiao,J., Wang,Y. and Zhou,C.	SARS coronavirus NS-1 complete genome sequence	2020-01-27
P2	Severe acute respiratory syndrome-related coronavirus		FJ882963	29682	2004-08-10			Human	Homo sapiens	USA	north_america	genomic RNA	P2__FJ882963	https://www.ncbi.nlm.nih.gov/nuccore/FJ882963	Spiro,D., Halpin,R., Wang,S., Hostetler,J., Hine,E., Overton,L., Tsitrin,T., Katzel,D., Sarmiento,M., Sitz,J., Amedeo,P., Caler,E., Lorenzi,H., Schobel,S., Sundaram,J. and Kistner,O.	Direct Submission	2020-01-27
PC4-13	Severe acute respiratory syndrome-related coronavirus		AY613948	29730	2004-XX-XX			Civet	palm civet	China	china	genomic RNA	PC4-13__AY613948	https://www.ncbi.nlm.nih.gov/nuccore/AY613948	Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I. and Zhao,G.P.	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	2020-01-27
PC4-136	Severe acute respiratory syndrome-related coronavirus		AY613949	29730	2004-XX-XX			Civet	palm civet	China	china	genomic RNA	PC4-136__AY613949	https://www.ncbi.nlm.nih.gov/nuccore/AY613949	Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I. and Zhao,G.P.	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	2020-01-27
PC4-227	Severe acute respiratory syndrome-related coronavirus		AY613950	29728	2004-XX-XX			Civet	palm civet	China	china	genomic RNA	PC4-227__AY613950	https://www.ncbi.nlm.nih.gov/nuccore/AY613950	Song,H.D., Tu,C.C., Zhang,G.W., Wang,S.Y., Zheng,K., Lei,L.C., Chen,Q.X., Gao,Y.W., Zhou,H.Q., Xiang,H., Zheng,H.J., Chern,S.W., Cheng,F., Pan,C.M., Xuan,H., Chen,S.J., Luo,H.M., Zhou,D.H., Liu,Y.F., He,J.F., Qin,P.Z., Li,L.H., Ren,Y.Q., Liang,W.J., Yu,Y.D., Anderson,L., Wang,M., Xu,R.H., Wu,X.W., Zheng,H.Y., Chen,J.D., Liang,G., Gao,Y., Liao,M., Fang,L., Jiang,L.Y., Li,H., Chen,F., Di,B., He,L.J., Lin,J.Y., Tong,S., Kong,X., Du,L., Hao,P., Tang,H., Bernini,A., Yu,X.J., Spiga,O., Guo,Z.M., Pan,H.Y., He,W.Z., Manuguerra,J.C., Fontanet,A., Danchin,A., Niccolai,N., Li,Y.X., Wu,C.I. and Zhao,G.P.	Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human	2020-01-27
PUMC01	Severe acute respiratory syndrome-related coronavirus		AY350750	29738	20XX-XX-XX							genomic RNA	PUMC01__AY350750	https://www.ncbi.nlm.nih.gov/nuccore/AY350750	Zou,K., Zhu,H., Ding,K., Wang,Z., Liu,Y., Wang,T., Yang,J., Wei,G., Zhou,X., Zhang,W., Yu,Z., Fan,Z., Peng,X., Qin,C., Liu,X., Shen,Y., Ni,A. and Qiang,B.	Direct Submission	2020-01-27
PUMC02	Severe acute respiratory syndrome-related coronavirus		AY357075	29738	20XX-XX-XX							genomic RNA	PUMC02__AY357075	https://www.ncbi.nlm.nih.gov/nuccore/AY357075	Zou,K., Zhu,H., Ding,K., Wang,Z., Liu,Y., Wang,T., Yang,J., Wei,G., Zhou,X., Zhang,W., Yu,Z., Qin,C., Liu,X., Shen,Y., Ni,A. and Qiang,B.	Direct Submission	2020-01-27
PUMC03	Severe acute respiratory syndrome-related coronavirus		AY357076	29745	20XX-XX-XX							genomic RNA	PUMC03__AY357076	https://www.ncbi.nlm.nih.gov/nuccore/AY357076	Zou,K., Zhu,H., Ding,K., Wang,Z., Liu,Y., Wang,T., Yang,J., Wei,G., Zhou,X., Zhang,W., Yu,Z., Qin,C., Liu,X., Shen,Y., Ni,A. and Qiang,B.	Direct Submission	2020-01-27
ShanghaiQXC1	Severe acute respiratory syndrome-related coronavirus		AY463059	29592	20XX-XX-XX							genomic RNA	ShanghaiQXC1__AY463059	https://www.ncbi.nlm.nih.gov/nuccore/AY463059	Yuan,Z., Zhang,X., Hu,Y., Lan,S., Zhou,Z., Wang,H. and Wen,Y.	Analysis of SARS coronavirus genome in Shanghai isolates	2020-01-27
ShanghaiQXC2	Severe acute respiratory syndrome-related coronavirus		AY463060	29013	20XX-XX-XX							genomic RNA	ShanghaiQXC2__AY463060	https://www.ncbi.nlm.nih.gov/nuccore/AY463060	Yuan,Z., Zhang,X., Hu,Y., Lan,S., Zhou,Z., Wang,H. and Wen,Y.	Analysis of SARS coronavirus genome in Shanghai isolates	2020-01-27
SIN2500	Severe acute respiratory syndrome-related coronavirus		AY283794	29711	20XX-XX-XX					Singapore	southeast_asia	genomic RNA	SIN2500__AY283794	https://www.ncbi.nlm.nih.gov/nuccore/AY283794	Ruan,Y.J., Wei,C.L., Ee,A.L., Vega,V.B., Thoreau,H., Su,S.T., Chia,J.M., Ng,P., Chiu,K.P., Lim,L., Zhang,T., Peng,C.K., Lin,E.O., Lee,N.M., Yee,S.L., Ng,L.F., Chee,R.E., Stanton,L.W., Long,P.M. and Liu,E.T.	Comparative full-length genome sequence analysis of 14 SARS coronavirus isolates and common mutations associated with putative origins of infection	2020-01-27
SIN2677	Severe acute respiratory syndrome-related coronavirus		AY283795	29705	20XX-XX-XX					Singapore	southeast_asia	genomic RNA	SIN2677__AY283795	https://www.ncbi.nlm.nih.gov/nuccore/AY283795	Ruan,Y.J., Wei,C.L., Ee,A.L., Vega,V.B., Thoreau,H., Su,S.T., Chia,J.M., Ng,P., Chiu,K.P., Lim,L., Zhang,T., Peng,C.K., Lin,E.O., Lee,N.M., Yee,S.L., Ng,L.F., Chee,R.E., Stanton,L.W., Long,P.M. and Liu,E.T.	Comparative full-length genome sequence analysis of 14 SARS coronavirus isolates and common mutations associated with putative origins of infection	2020-01-27
SIN2679	Severe acute respiratory syndrome-related coronavirus		AY283796	29711	20XX-XX-XX					Singapore	southeast_asia	genomic RNA	SIN2679__AY283796	https://www.ncbi.nlm.nih.gov/nuccore/AY283796	Ruan,Y.J., Wei,C.L., Ee,A.L., Vega,V.B., Thoreau,H., Su,S.T., Chia,J.M., Ng,P., Chiu,K.P., Lim,L., Zhang,T., Peng,C.K., Lin,E.O., Lee,N.M., Yee,S.L., Ng,L.F., Chee,R.E., Stanton,L.W., Long,P.M. and Liu,E.T.	Comparative full-length genome sequence analysis of 14 SARS coronavirus isolates and common mutations associated with putative origins of infection	2020-01-27
