Strain Name	Virus Species	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type
Mebus	Betacoronavirus 1	U00735	31032	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Quebec	Betacoronavirus 1	AF220295	31100	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
UNKNOWN-DQ915164	Betacoronavirus 1	DQ915164	31076	-N/A-	Alpaca	alpaca	USA	genomic RNA	
4408	Betacoronavirus 1	FJ415324	31029	1988	Human	Homo sapiens	Germany	genomic RNA	
AH187	Betacoronavirus 1	FJ938065	30969	01/01/2000	Cattle	bovine	USA	genomic RNA	
bovine/US/OH-440-TC/1996	Betacoronavirus 1	FJ938066	30953	01/01/1996	Cattle	bovine	USA	genomic RNA	
NC99	Betacoronavirus 1	EF446615	30992	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
19572 Belgium 2004	Betacoronavirus 1	AY903460	30723	-N/A-	Unknown	-N/A-	Belgium	genomic RNA	
87309 Belgium 2003	Betacoronavirus 1	AY903459	30723	-N/A-	Unknown	-N/A-	Belgium	genomic RNA	
ATCC VR-759	Betacoronavirus 1	AY391777	30738	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
ATCC VR-759	Betacoronavirus 1	AY585228	30741	-N/A-	Unknown	-N/A-	USA	genomic RNA	
HK04-01	Betacoronavirus 1	JN129834	30710	11/2004	Human	Homo sapiens	China	genomic RNA	
UNKNOWN-AY585229	Betacoronavirus 1	AY585229	30744	-N/A-	Unknown	-N/A-	France	genomic RNA	
VW572	Betacoronavirus 1	DQ011855	30480	-N/A-	Unknown	-N/A-	Belgium	genomic RNA	
